item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
10033049001,35.0,23.0,31.0,7
10033050001,38.0,25.0,24.0,9
10033052001,43.0,28.0,22.0,6
10033053001,38.0,22.0,31.0,8
10033054001,41.0,28.0,24.0,5
10033056001,40.0,27.0,24.0,5
10033057001,40.0,27.0,23.0,5
10033060001,41.0,27.0,24.0,5
10033062001,42.0,28.0,24.0,5
10033064001,40.0,20.0,14.0,12
10033065001,35.0,26.0,31.0,6
10033066001,40.0,27.0,24.0,5
10033068001,35.0,20.0,11.0,28
10033070001,42.0,28.0,24.0,5
10033073001,37.0,28.0,31.0,6
10033074001,42.0,28.0,24.0,5
10033075001,34.0,24.0,31.0,7
10033082001,34.0,27.0,24.0,9
10034002001,42.0,29.0,24.0,5
10034003001,34.0,20.0,11.0,28
10034004001,34.0,20.0,11.0,28
10034006001,38.0,22.0,32.0,8
10034007001,42.0,27.0,22.0,6
10034011001,34.0,20.0,11.0,28
10034012001,41.0,28.0,24.0,5
10034013001,35.0,21.0,14.0,19
10034014001,35.0,20.0,13.0,24
10034015001,35.0,21.0,14.0,19
10034016001,43.0,29.0,25.0,5
10034017001,35.0,21.0,12.0,22
10034018001,37.0,28.0,31.0,6
10034019001,35.0,20.0,12.0,26
10034020001,27.0,21.0,13.0,31
10034022001,42.0,28.0,24.0,5
10034023001,43.0,29.0,24.0,5
10034024001,41.0,27.0,12.0,11
10034025001,35.0,20.0,11.0,28
10034026001,38.0,28.0,29.0,6
