item_code;product_name;history_days;lead_time_days;service_level;bootstrap_repetitions;resampling_method;evaluation_status;train_days;test_days;number_of_test_cases;evaluation_reorder_point;evaluation_mean_lead_time_demand;evaluation_safety_stock;achieved_csl;shortage_units;fill_rate;total_actual_lead_time_demand
14602115001;小磨坊自調式研磨器鮮磨白胡椒45g:小磨坊鮮磨白胡;2;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14602116001;小磨坊自調式研磨器鮮磨黑胡椒42g:小磨坊鮮磨黑胡;4;2;0,950000;10000;with_replacement;ok;2,000000;2,000000;1,000000;8,000000;4,018800;3,981200;1,000000;0,000000;1,000000;2,000000
14602120001;真好家五香蒸肉粉:五香蒸肉粉;14;2;0,950000;10000;with_replacement;ok;11,000000;3,000000;2,000000;1,000000;0,185500;0,814500;1,000000;0,000000;1,000000;1,000000
14603001001;益壽多蘋果蜂蜜速食咖哩125g:益壽多蘋果蜂蜜;1;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14603003001;佛蒙特咖哩塊-甜味 230g;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;21,000000;13,289300;7,710700;1,000000;0,000000;1,000000;58,000000
14603004001;佛蒙特咖哩塊-中辣 230g;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;14,000000;5,650800;8,349200;1,000000;0,000000;1,000000;22,000000
14603005001;佛蒙特咖哩塊-辣味 230g:辣味(福岡);21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;17,000000;6,338500;10,661500;1,000000;0,000000;1,000000;11,000000
14603010001;北海道白醬塊-奶油玉米180g:北海道白醬(靜岡;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;15,000000;6,273500;8,726500;1,000000;0,000000;1,000000;10,000000
14603012001;北海道白醬塊-奶油 180g:北海道白醬(靜岡;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;12,000000;4,667900;7,332100;1,000000;0,000000;1,000000;25,000000
14603013001;工研-益壽多中辣咖哩125g:中辣咖哩;1;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14603014001;工研-益壽多辣味咖哩125g:工研-益壽多辣;3;2;0,950000;10000;with_replacement;ok;1,000000;2,000000;1,000000;6,000000;6,000000;0,000000;1,000000;0,000000;1,000000;1,000000
14603019001;好侍爪哇咖哩-辣味185g:爪哇咖哩(福岡);21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;8,000000;2,425100;5,574900;0,250000;16,000000;0,659574;47,000000
14603026001;工研-益壽多甘味咖哩125g:甘味咖哩;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;3,000000;0,871900;2,128100;1,000000;0,000000;1,000000;5,000000
14603030001;好侍爪哇咖哩塊 (中辣) 185g:爪哇中辣(福岡);8;2;0,950000;10000;with_replacement;ok;6,000000;2,000000;1,000000;5,000000;2,040000;2,960000;0,000000;3,000000;0,625000;8,000000
14603038001;榖盛素食咖哩 220g;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;5,000000;1,568200;3,431800;1,000000;0,000000;1,000000;1,000000
14603116001;兒童咖哩-牛肉風味;1;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14604001001;味好美肉桂粉26g:肉桂粉;7;2;0,950000;10000;with_replacement;ok;5,000000;2,000000;1,000000;1,000000;0,395600;0,604400;1,000000;0,000000;1,000000;1,000000
14604042001;小磨坊法式香草風味調味料32g:小磨坊法式香草;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;3,000000;0,635400;2,364600;1,000000;0,000000;1,000000;3,000000
14610001001;統一沙拉油760ml;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;66,000000;21,281800;44,718200;1,000000;0,000000;1,000000;23,000000
14610002001;台糖大豆沙拉油2L;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;79,000000;47,587000;31,413000;1,000000;0,000000;1,000000;118,000000
14610008001;福壽不飽和大豆沙拉油2L;13;2;0,950000;10000;with_replacement;ok;10,000000;3,000000;2,000000;21,000000;5,993400;15,006600;1,000000;0,000000;1,000000;19,000000
14610009001;福壽大豆沙拉油600cc;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;24,000000;8,079900;15,920100;0,333333;3,000000;0,942308;52,000000
14610010001;泰山沙拉油600ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;26,000000;8,090000;17,910000;1,000000;0,000000;1,000000;61,000000
14610011001;台糖大豆沙拉油 3L;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;30,000000;17,219800;12,780200;0,000000;54,000000;0,689655;174,000000
14611002001;得意的一天100％葵花油1L;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;53,000000;35,778700;17,221300;0,666667;13,000000;0,889831;118,000000
14611007001;得意的一天單元純葵花油:得意的一天單元;8;2;0,950000;10000;with_replacement;ok;6,000000;2,000000;1,000000;9,000000;3,342700;5,657300;1,000000;0,000000;1,000000;1,000000
